,0
2004-01-01,10025.5
2004-02-01,10027.2
2004-03-01,10064.3
2004-04-01,10098.8
2004-05-01,10162.0
2004-06-01,10177.0
2004-07-01,10231.1
2004-08-01,10260.6
2004-09-01,10280.5
2004-10-01,10291.5
2004-11-01,10264.0
2004-12-01,10654.8
2005-01-01,10306.8
2005-02-01,10306.2
2005-03-01,10347.8
2005-04-01,10378.9
2005-05-01,10432.3
2005-06-01,10466.0
2005-07-01,10500.9
2005-08-01,10500.7
2005-09-01,10469.1
2005-10-01,10541.8
2005-11-01,10614.8
2005-12-01,10665.6
2006-01-01,10773.5
2006-02-01,10855.3
2006-03-01,10906.5
2006-04-01,10915.7
2006-05-01,10899.4
2006-06-01,10910.2
2006-07-01,10897.3
2006-08-01,10884.7
2006-09-01,10955.9
2006-10-01,11030.8
2006-11-01,11091.2
2006-12-01,11146.8
2007-01-01,11129.6
2007-02-01,11172.7
2007-03-01,11220.1
2007-04-01,11252.5
2007-05-01,11260.7
2007-06-01,11256.3
2007-07-01,11259.9
2007-08-01,11248.8
2007-09-01,11261.1
2007-10-01,11250.6
2007-11-01,11242.8
2007-12-01,11273.1
2008-01-01,11263.3
2008-02-01,11263.4
2008-03-01,11260.6
2008-04-01,11192.7
2008-05-01,11146.1
2008-06-01,11086.5
2008-07-01,11040.1
2008-08-01,11090.4
2008-09-01,11086.5
2008-10-01,11152.8
2008-11-01,11209.4
2008-12-01,11080.3
2009-01-01,10880.7
2009-02-01,10704.9
2009-03-01,10631.6
2009-04-01,10616.3
2009-05-01,10604.5
2009-06-01,10521.4
2009-07-01,10472.0
2009-08-01,10447.3
2009-09-01,10440.8
2009-10-01,10439.9
2009-11-01,10473.7
2009-12-01,10505.5
2010-01-01,10490.7
2010-02-01,10487.0
2010-03-01,10529.1
2010-04-01,10638.7
2010-05-01,10740.6
2010-06-01,10755.9
2010-07-01,10789.5
2010-08-01,10811.8
2010-09-01,10824.2
2010-10-01,10840.9
2010-11-01,10859.3
2010-12-01,10936.6
2011-01-01,11109.0
2011-02-01,11157.7
2011-03-01,11129.7
2011-04-01,11114.2
2011-05-01,11107.8
2011-06-01,11169.8
2011-07-01,11231.3
2011-08-01,11227.3
2011-09-01,11214.0
2011-10-01,11219.3
2011-11-01,11211.8
2011-12-01,11330.5
2012-01-01,11426.7
2012-02-01,11514.0
2012-03-01,11557.9
2012-04-01,11611.8
2012-05-01,11611.6
2012-06-01,11604.7
2012-07-01,11527.5
2012-08-01,11513.8
2012-09-01,11610.3
2012-10-01,11712.5
2012-11-01,11891.8
2012-12-01,12227.2
2013-01-01,11508.6
2013-02-01,11481.2
2013-03-01,11517.7
2013-04-01,11580.0
2013-05-01,11631.6
2013-06-01,11629.7
2013-07-01,11605.6
2013-08-01,11628.9
2013-09-01,11681.3
2013-10-01,11651.7
2013-11-01,11697.0
2013-12-01,11731.6
2014-01-01,11800.5
2014-02-01,11870.9
2014-03-01,11933.0
2014-04-01,11965.2
2014-05-01,11993.1
2014-06-01,12042.7
2014-07-01,12085.3
2014-08-01,12150.7
2014-09-01,12196.7
2014-10-01,12257.0
2014-11-01,12329.5
2014-12-01,12408.3
2015-01-01,12507.8
2015-02-01,12552.7
2015-03-01,12508.2
2015-04-01,12543.4
2015-05-01,12569.5
2015-06-01,12576.7
2015-07-01,12599.4
2015-08-01,12627.1
2015-09-01,12663.0
2015-10-01,12700.5
2015-11-01,12694.1
2015-12-01,12743.1
2016-01-01,12751.1
2016-02-01,12745.9
2016-03-01,12745.1
2016-04-01,12725.5
2016-05-01,12719.2
2016-06-01,12735.5
2016-07-01,12787.7
2016-08-01,12793.7
2016-09-01,12830.4
2016-10-01,12841.0
2016-11-01,12881.2
2016-12-01,12917.3
2017-01-01,12961.8
2017-02-01,13002.5
2017-03-01,13053.8
2017-04-01,13084.5
2017-05-01,13174.4
2017-06-01,13179.2
2017-07-01,13220.1
2017-08-01,13232.1
2017-09-01,13265.0
2017-10-01,13309.0
2017-11-01,13360.3
2017-12-01,13387.6
2018-01-01,13379.4
2018-02-01,13397.4
2018-03-01,13423.2
2018-04-01,13443.2
2018-05-01,13478.9
2018-06-01,13532.4
2018-07-01,13605.1
2018-08-01,13663.3
2018-09-01,13663.7
2018-10-01,13690.1
2018-11-01,13736.2
2018-12-01,13919.2
2019-01-01,13911.2
2019-02-01,13967.1
2019-03-01,13994.1
2019-04-01,13978.8
2019-05-01,13982.3
2019-06-01,13997.8
2019-07-01,14002.8
2019-08-01,14081.3
2019-09-01,14115.0
2019-10-01,14140.6
2019-11-01,14218.2
2019-12-01,14175.3
2020-01-01,14312.2
2020-02-01,14415.4
2020-03-01,14058.3
2020-04-01,13240.1
2020-05-01,13517.4
2020-06-01,13785.7
2020-07-01,13907.8
2020-08-01,14041.6
2020-09-01,14171.7
2020-10-01,14366.3
2020-11-01,14324.8
2020-12-01,14314.6
2021-01-01,14204.9
2021-02-01,14187.1
2021-03-01,14270.1
2021-04-01,14358.2
2021-05-01,14410.4
2021-06-01,14436.8
2021-07-01,14482.6
2021-08-01,14476.1
2021-09-01,14516.5
2021-10-01,14588.7
2021-11-01,14599.9
2021-12-01,14579.5
2022-01-01,14515.0
2022-02-01,14526.8
2022-03-01,14481.6
2022-04-01,14481.1
2022-05-01,14473.2
2022-06-01,14407.9
2022-07-01,14501.9
2022-08-01,14524.5
2022-09-01,14542.2
2022-10-01,14557.0
2022-11-01,14598.2
